Year,Team,Loser,SB Win,SB Loss
2017,New England Patriots,Atlanta Falcons,1,1
2016,Denver Broncos,Carolina Panthers,1,1
2015,New England Patriots,Seattle Seahawks,1,1
2014,Seattle Seahawks,Denver Broncos,1,1
2013,Baltimore Ravens,San Francisco 49ers,1,1
2012,New York Giants,New England Patriots,1,1
2011,Green Bay Packers,Pittsburgh Steelers,1,1
2010,New Orleans Saints,Indianapolis Colts,1,1
2009,Pittsburgh Steelers,Arizona Cardinals,1,1
2008,New York Giants,New England Patriots,1,1
2007,Indianapolis Colts,Chicago Bears,1,1
2006,Pittsburgh Steelers,Seattle Seahawks,1,1
2005,New England Patriots,Philadelphia Eagles,1,1
2004,New England Patriots,Carolina Panthers,1,1
2003,Tampa Bay Buccaneers,Oakland Raiders,1,1
2002,New England Patriots,St. Louis Rams,1,1
2001,Baltimore Ravens,New York Giants,1,1
2000,St. Louis Rams,Tennessee Titans,1,1
1999,Denver Broncos,Atlanta Falcons,1,1
1998,Denver Broncos,Green Bay Packers,1,1
1997,Green Bay Packers,New England Patriots,1,1
1996,Dallas Cowboys,Pittsburgh Steelers,1,1
1995,San Francisco 49ers,San Diego Chargers,1,1
1994,Dallas Cowboys,Buffalo Bills,1,1
1993,Dallas Cowboys,Buffalo Bills,1,1
1992,Washington Redskins,Buffalo Bills,1,1
1991,New York Giants,Buffalo Bills,1,1
1990,San Francisco 49ers,Denver Broncos,1,1
1989,San Francisco 49ers,Cincinnati Bengals,1,1
1988,Washington Redskins,Denver Broncos,1,1
1987,New York Giants,Denver Broncos,1,1
1986,Chicago Bears,New England Patriots,1,1
1985,San Francisco 49ers,Miami Dolphins,1,1
1984,Los Angeles Raiders,Washington Redskins,1,1
1983,Washington Redskins,Miami Dolphins,1,1
1982,San Francisco 49ers,Cincinnati Bengals,1,1
1981,Oakland Raiders,Philadelphia Eagles,1,1
1980,Pittsburgh Steelers,Los Angeles Rams,1,1
1979,Pittsburgh Steelers,Dallas Cowboys,1,1
1978,Dallas Cowboys,Denver Broncos,1,1
1977,Oakland Raiders,Minnesota Vikings,1,1
1976,Pittsburgh Steelers,Dallas Cowboys,1,1
1975,Pittsburgh Steelers,Minnesota Vikings,1,1
1974,Miami Dolphins,Minnesota Vikings,1,1
1973,Miami Dolphins,Washington Redskins,1,1
1972,Dallas Cowboys,Miami Dolphins,1,1
1971,Baltimore Colts,Dallas Cowboys,1,1
1970,Kansas City Chiefs,Minnesota Vikings,1,1
1969,New York Jets,Baltimore Colts,1,1
1968,Green Bay Packers,Oakland Raiders,1,1
1967,Green Bay Packers,Kansas City Chiefs,1,1
