Name,SB Win,SB Loss
"Stabler, Ken",1,0
"Bettis, Jerome",1,0
"Brown, Tim",0,1
"Smith, Emmitt",3,0
"Monk, Art",2,1
"Moon, Warren",0,0
"Friedman, Benny",0,0
"Pollard, Fritz",0,0
"Lofton, James",0,3
"Stallworth, John",4,0
"Swann, Lynn",4,0
"Montana, Joe",4,0
"Joiner, Charlie",0,0
"Winslow, Kellen",0,0
"Dorsett, Tony",1,1
"Smith, Jackie",0,0
"Griese, Bob",2,1
"Bradshaw, Terry",4,0
"Biletnikoff, Fred",1,1
"Csonka, Larry",2,1
"HenryJohnson, John",0,0
"Hornung, Paul",0,0
"Simpson, O.J.",0,0
"Staubach, Roger",2,2
"Jurgensen, Sonny",0,0
"Blanda, George",0,0
"Starr, Bart",2,0
"Moore, Lenny",0,0
"Brown, Jim",0,0
"VanBrocklin, Norm",0,0
"McElhenny, Hugh",0,0
"Motley, Marion",0,0
"Trippi, Charley",0,0
"Strong, Ken",0,0
"Dudley, Bill",0,0
"Herber, Arnie",0,0
"Driscoll, Paddy",0,0
"Graham, Otto",0,0
"Luckman, Sid",0,0
"VanBuren, Steve",0,0
"Hinkle, Clarke",0,0
"Blood, Johnny",0,0
"Clark, Dutch",0,0
"Grange, Red",0,0
"Nevers, Ernie",0,0
"Thorpe, Jim",0,0
