Year,Name,SB MVP
2016,"Brady, Tom",1
2015,"Miller, Von",1
2014,"Brady, Tom",1
2013,"Smith, Malcolm",1
2012,"Flacco, Joe",1
2011,"Manning, Eli",1
2010,"Rodgers, Aaron",1
2009,"Brees, Drew",1
2008,"Holmes, Santonio",1
2007,"Manning, Eli",1
2006,"Manning, Peyton",1
2005,"Ward, Hines",1
2004,"Branch, Deion",1
2003,"Brady, Tom",1
2002,"Jackson, Dexter",1
2001,"Brady, Tom",1
2000,"Lewis, Ray",1
1999,"Warner, Kurt",1
1998,"Elway, John",1
1997,"Davis, Terrell",1
1996,"Howard, Desmond",1
1995,"Brown, Larry",1
1994,"Young, Steve",1
1993,"Smith, Emmitt",1
1992,"Aikman, Troy",1
1991,"Rypien, Mark",1
1990,"Anderson, Ottis",1
1989,"Montana, Joe",1
1988,"Rice, Jerry",1
1987,"Williams, Doug",1
1986,"Simms, Phil",1
1985,"Dent, Richard",1
1984,"Montana, Joe",1
1983,"Allen, Marcus",1
1982,"Riggins, John",1
1981,"Montana, Joe",1
1980,"Plunkett, Jim",1
1979,"Bradshaw, Terry",1
1978,"Bradshaw, Terry",1
1977,"Martin, Harvey",1
1977,"White, Randy",1
1976,"Biletnikoff, Fred",1
1975,"Swann, Lynn",1
1974,"Harris, Franco",1
1973,"Csonka, Larry",1
1972,"Scott, Jake",1
1971,"Staubach, Roger",1
1970,"Howley, Chuck",1
1969,"Dawson, Len",1
1968,"Namath, Joe",1
1967,"Starr, Bart",1
1966,"Starr, Bart",1
