Year,Name,MVP
2016,"Ryan, Matt",1
2015,"Newton, Cam",1
2014,"Rodgers, Aaron",1
2013,"Manning, Peyton",1
2012,"Peterson, Adrian",1
2011,"Rodgers, Aaron",1
2010,"Brady, Tom",1
2009,"Manning, Peyton",1
2008,"Manning, Peyton",1
2007,"Brady, Tom",1
2006,"Tomlinson, LaDainian",1
2005,"Alexander, Shaun",1
2004,"Manning, Peyton",1
2003,"McNair, Steve",1
2003,"Manning, Peyton",1
2002,"Gannon, Rich",1
2001,"Warner, Kurt",1
2000,"Faulk, Marshall",1
1999,"Warner, Kurt",1
1998,"Davis, Terrell",1
1997,"Sanders, Barry",1
1997,"Favre, Brett",1
1996,"Favre, Brett",1
1995,"Favre, Brett",1
1994,"Young, Steve",1
1993,"Smith, Emmitt",1
1992,"Young, Steve",1
1991,"Thomas, Thurman",1
1990,"Montana, Joe",1
1989,"Montana, Joe",1
1988,"Esiason, Boomer",1
1987,"Elway, John",1
1986,"Taylor, Lawrence",1
1985,"Allen, Marcus",1
1984,"Marino, Dan",1
1983,"Theismann, Joe",1
1982,"Moseley, Mark",1
1981,"Anderson, Ken",1
1980,"Sipe, Brian",1
1979,"Campbell, Earl",1
1978,"Bradshaw, Terry",1
1977,"Payton, Walter",1
1976,"Jones, Bert",1
1975,"Tarkenton, Fran",1
1974,"Stabler, Ken",1
1973,"Simpson, O.J.",1
1972,"Brown, Larry",1
1971,"Page, Alan",1
1970,"Brodie, John",1
1969,"Gabriel, Roman",1
1968,"Morrall, Earl",1
1967,"Unitas, Johnny",1
1966,"Starr, Bart",1
1965,"Brown, Jim",1
1964,"Unitas, Johnny",1
1963,"Tittle, Y.A.",1
1962,"Taylor, Jim",1
1961,"Hornung, Paul",1
1960,"Van Brocklin, Norm",1
1959,"Unitas, Johnny",1
1958,"Brown, Jim",1
1957,"Brown, Jim",1
