,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
194474,4140,653,3,965348662,M,25,0,32112,Dragonheart (1996),Action|Adventure|Fantasy,False
840291,216,945,4,976864614,M,45,13,52761,Top Hat (1935),Comedy|Musical|Romance,False
950085,1676,1993,1,974710181,M,18,4,91301,Child's Play 3 (1992),Horror,False
526301,2854,2375,2,972535829,F,18,4,64151,"Money Pit, The (1986)",Comedy,False
426985,1770,1257,4,974703079,M,35,16,79605,Better Off Dead... (1985),Comedy,False
723255,3754,2416,3,966120041,M,56,7,94612,Back to School (1986),Comedy,False
114003,6007,265,2,956789206,M,35,17,80537,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,False
876602,1101,991,3,982008568,M,35,1,06417,Michael Collins (1996),Drama|War,False
276462,1297,2159,4,975103967,M,25,7,92109,Henry: Portrait of a Serial Killer (1990),Crime|Horror,False
466012,4016,1292,1,965619027,M,50,0,33901,Being There (1979),Comedy,False
445183,5786,2078,4,958267405,M,25,6,53211,"Jungle Book, The (1967)",Animation|Children's|Comedy|Musical,False
137268,3211,593,5,968545187,M,50,16,20015,"Silence of the Lambs, The (1991)",Drama|Thriller,False
554948,3519,216,3,968602626,F,25,14,11215,Billy Madison (1995),Comedy,False
333178,5222,1569,3,1008051087,M,25,12,94501,My Best Friend's Wedding (1997),Comedy|Romance,False
444632,765,2078,4,975453912,M,25,17,74467,"Jungle Book, The (1967)",Animation|Children's|Comedy|Musical,False
670377,1579,1960,5,974929361,M,25,0,60201,"Last Emperor, The (1987)",Drama|War,False
300447,2764,1449,4,973137362,M,25,7,91403,Waiting for Guffman (1996),Comedy,False
469250,948,1948,4,975162139,M,56,12,43056,Tom Jones (1963),Comedy,False
482579,5896,2252,2,957459335,M,25,0,60657,Hero (1992),Comedy|Drama,False
260472,4995,2716,3,962595848,M,50,20,55419,Ghostbusters (1984),Comedy|Horror,False
241118,624,296,4,975789148,M,25,1,75207,Pulp Fiction (1994),Crime|Drama,False
679957,3129,2450,4,969366647,M,25,7,21117,Howard the Duck (1986),Adventure|Children's|Sci-Fi,False
367855,2029,1701,1,974677244,F,25,12,10011,Deconstructing Harry (1997),Comedy|Drama,False
256507,1737,3513,4,974705466,M,35,20,46614,Rules of Engagement (2000),Drama|Thriller,False
429387,3675,586,4,966369098,M,35,7,06680,Home Alone (1990),Children's|Comedy,False
344812,1420,2100,3,975346524,M,18,4,01375,Splash (1984),Comedy|Fantasy|Romance,False
702116,5099,2004,3,962368216,M,18,0,02780,Gremlins 2: The New Batch (1990),Comedy|Horror,False
919279,5153,3724,3,961967707,M,25,7,60046,Coming Home (1978),Drama|War,False
478749,4268,1012,3,965305923,F,45,20,04046,Old Yeller (1957),Children's|Drama,False
712154,4171,3450,4,965333634,M,56,16,79705,Grumpy Old Men (1993),Comedy,False
359354,2453,2702,3,974191708,M,25,7,55429,Summer of Sam (1999),Drama,False
445723,3514,1276,5,966972621,M,18,12,30318,Cool Hand Luke (1967),Comedy|Drama,False
21844,877,2321,3,975270707,M,25,0,90631,Pleasantville (1998),Comedy,False
986754,2624,2569,4,973634492,F,35,0,44313,Among Giants (1998),Drama|Romance,False
954609,4510,544,2,966788046,M,45,7,92503,Striking Distance (1993),Action,False
302608,839,3267,4,975359398,M,25,0,98103,"Mariachi, El (1992)",Action|Thriller,False
923072,4430,1416,2,965103297,F,25,0,94403,Evita (1996),Drama|Musical,False
973511,524,3401,2,976171261,M,18,0,91320,Baby... Secret of the Lost Legend (1985),Adventure|Sci-Fi,False
212732,2959,2081,3,971139782,M,35,17,06074,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,False
958762,2674,3819,5,973413583,M,25,4,94110,Tampopo (1986),Comedy,False
30387,4104,1097,4,965415943,M,18,16,42141,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,False
641853,4450,1206,3,965086537,M,25,15,60611,"Clockwork Orange, A (1971)",Sci-Fi,False
998695,4454,1671,2,965083791,M,25,20,111225,Deceiver (1997),Crime,False
104107,4560,589,4,964648574,M,25,0,69301,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,False
728178,3129,1222,2,969293567,M,25,7,21117,Full Metal Jacket (1987),Action|Drama|War,False
813597,1988,3159,4,974758143,F,25,1,85224,Fantasia 2000 (1999),Animation|Children's|Musical,False
798123,4607,1237,3,1018906985,M,25,0,27403,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,False
931604,3271,1131,5,968198376,F,35,0,92704,Jean de Florette (1986),Drama,False
533468,3393,541,5,967497823,M,35,12,60563,Blade Runner (1982),Film-Noir|Sci-Fi,False
813255,1315,28,5,974780234,M,35,7,75214,Persuasion (1995),Romance,False
616392,1133,1805,2,974970127,M,18,2,90038,Wild Things (1998),Crime|Drama|Mystery|Thriller,False
298368,4843,3260,4,962847297,M,56,1,04032,Howards End (1992),Drama,False
692178,5367,2064,4,960503153,M,18,4,55344,Roger & Me (1989),Comedy|Documentary,False
344867,1744,2100,4,974706810,M,35,12,50325,Splash (1984),Comedy|Fantasy|Romance,False
661239,4088,2153,1,965433072,M,25,3,77057,"Avengers, The (1998)",Action|Adventure,False
145287,2996,2396,3,972415733,M,18,0,63011,Shakespeare in Love (1998),Comedy|Romance,False
698057,5955,1974,3,957108162,F,25,7,34952,Friday the 13th (1980),Horror,False
857997,4041,379,2,965511362,M,18,3,48005,Timecop (1994),Action|Sci-Fi,False
520268,3224,1135,4,968522493,F,25,14,93428,Private Benjamin (1980),Comedy,False
433558,3391,153,3,967659536,M,18,4,48135,Batman Forever (1995),Action|Adventure|Comedy|Crime,False
483975,456,924,3,976300856,M,35,0,55105,2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller,False
167609,5289,3095,4,961085776,M,45,2,94102,"Grapes of Wrath, The (1940)",Drama,False
13156,2063,595,3,974661455,M,25,4,43138,Beauty and the Beast (1991),Animation|Children's|Musical,False
220357,3837,1387,5,965932176,M,25,17,28804,Jaws (1975),Action|Horror,False
62563,3576,2194,3,966719873,M,50,7,68046,"Untouchables, The (1987)",Action|Crime|Drama,False
927117,4837,1858,1,962895774,M,25,5,46254,Mr. Nice Guy (1997),Action|Comedy,False
919730,4940,3738,2,1022013801,F,50,11,94102,"Sugarland Express, The (1974)",Drama,False
229071,984,39,4,975098125,M,50,16,92129,Clueless (1995),Comedy|Romance,False
699984,2457,1994,3,974180265,M,25,0,60656,Poltergeist (1982),Horror|Thriller,False
572346,1451,708,5,974763838,M,35,20,90012,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,False
755049,5980,3361,3,956943408,M,56,1,42503,Bull Durham (1988),Comedy,False
55176,5026,531,3,962579529,M,25,17,92584,"Secret Garden, The (1993)",Children's|Drama,False
619161,202,1672,5,976937676,M,18,4,53706,"Rainmaker, The (1997)",Drama,False
987849,3311,2655,1,967961883,M,25,4,90039,Howling II: Your Sister Is a Werewolf (1985),Horror,False
73064,4957,1210,4,962636791,M,25,2,48197,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,False
142818,5649,2571,5,958865919,F,18,4,90025,"Matrix, The (1999)",Action|Sci-Fi|Thriller,False
156359,3329,1090,5,967865310,M,50,18,72601,Platoon (1986),Drama|War,False
605657,1088,2840,4,1023164489,F,1,10,98103,Stigmata (1999),Thriller,False
75429,3742,1213,5,966145726,M,25,0,90266,GoodFellas (1990),Crime|Drama,False
538468,3961,2021,3,967226034,M,25,1,45230,Dune (1984),Fantasy|Sci-Fi,False
503760,850,1125,4,975351703,M,35,0,60640,"Return of the Pink Panther, The (1974)",Comedy,False
