,Year,Week,HomeTeam,AwayTeam,HomeScore,AwayScore,Spread,DH_Pts/G,DH_Comp%,DH_PassAvg,DH_PassYds,DH_PassTD,DH_Int_Thrown,DH_Sacks_All,DH_QBR,DH_RushAvg,DH_RushYds,DH_RushTD,DH_Fum,DH_Pts/G_All,DH_Comp%_All,DH_PassAvg_All,DH_PassYds_All,DH_PassTD_All,DH_Int,DH_Sacks,DH_QBR_All,DH_RushAvg_All,DH_RushYds_All,DH_RushTD_All,DH_ForcedFum
0,2010,1,Saints,Vikings,14,9,-5,22.9,0.655,6.85,244.0,1.81,1.16,1.78,88.6,3.95,98.55000000000001,0.5900000000000001,0.535,18.4,0.6114999999999999,6.699999999999999,193.75,0.845,1.09,2.1550000000000002,75.45,4.35,116.85,0.905,0.78
1,2010,10,Bears,Vikings,27,13,-14,21.35,0.6105,7.0,199.4,1.5,1.125,2.7199999999999998,82.95,3.9,101.6,0.62,0.345,17.75,0.614,6.6,208.89999999999998,0.88,1.465,2.185,71.05000000000001,4.050000000000001,105.75,0.94,0.8799999999999999
2,2010,8,Patriots,Vikings,28,18,-10,27.1,0.641,7.300000000000001,225.4,1.935,0.625,1.75,98.1,4.1,112.75,0.905,0.375,18.6,0.6194999999999999,6.85,226.05,1.22,1.59,2.25,74.45,4.300000000000001,114.7,0.81,0.595
3,2010,16,Eagles,Vikings,14,24,10,24.6,0.6245,7.1,227.25,1.655,0.875,2.5,89.25,4.65,123.69999999999999,0.8700000000000001,0.535,20.6,0.5900000000000001,6.8,205.2,1.41,1.53,2.3449999999999998,74.25,4.300000000000001,115.9,0.875,0.5
4,2010,12,Redskins,Vikings,13,17,4,20.35,0.603,6.85,227.5,1.435,1.065,2.41,82.2,4.05,96.75,0.5900000000000001,0.505,20.6,0.6194999999999999,7.05,227.64999999999998,1.16,1.25,2.0300000000000002,78.65,4.5,124.5,0.97,0.63
5,2010,5,Jets,Vikings,29,20,-9,22.35,0.589,6.6,206.5,1.405,0.9099999999999999,1.845,81.45,4.15,125.30000000000001,0.75,0.6599999999999999,18.3,0.5555,6.55,197.1,1.19,1.185,2.375,72.4,4.0,106.15,0.845,0.655
6,2010,7,Packers,Vikings,28,24,-4,23.0,0.6399999999999999,7.35,234.10000000000002,1.75,0.875,2.16,92.65,3.8499999999999996,101.30000000000001,0.655,0.44,16.3,0.583,6.55,193.89999999999998,0.94,1.56,2.5949999999999998,67.45,4.550000000000001,118.15,0.69,0.565
7,2010,17,Lions,Vikings,20,13,-7,22.200000000000003,0.617,6.5,224.25,1.59,0.97,1.815,84.2,3.95,101.5,0.655,0.505,20.35,0.6205,6.949999999999999,206.1,1.16,1.25,2.5,78.45,4.45,123.15,1.06,0.72
8,2010,3,Saints,Falcons,24,27,3,21.0,0.6655,6.95,252.10000000000002,1.75,1.38,1.78,86.5,4.3,100.4,0.56,0.595,22.549999999999997,0.6225,6.65,208.4,1.28,0.56,1.75,87.0,4.05,115.25,0.845,0.685
9,2010,13,Buccaneers,Falcons,24,28,4,19.65,0.6345000000000001,7.050000000000001,218.35,1.53,0.8799999999999999,1.91,89.2,4.6,115.5,0.56,0.595,22.9,0.6074999999999999,6.45,211.95,1.595,0.875,1.53,84.19999999999999,4.25,124.94999999999999,0.815,0.405
10,2010,1,Steelers,Falcons,15,9,-6,20.7,0.636,7.5,225.85,1.41,0.97,2.315,88.7,4.35,113.05000000000001,0.75,0.655,20.2,0.619,6.4,218.5,1.345,0.935,2.2199999999999998,81.94999999999999,3.4,90.5,0.595,0.405
11,2010,6,Eagles,Falcons,31,17,-14,22.7,0.635,7.2,235.35,1.595,1.095,2.5,87.15,5.0,125.55,0.8400000000000001,0.595,24.75,0.601,6.75,219.85000000000002,1.845,1.0,1.94,85.8,4.0,114.30000000000001,0.815,0.405
12,2010,11,Rams,Falcons,17,34,17,18.05,0.625,6.45,215.39999999999998,1.28,1.16,2.0300000000000002,79.35,4.15,102.25,0.56,0.435,23.2,0.6005,6.65,223.25,1.53,0.72,2.065,85.6,4.15,115.65,0.66,0.435
13,2010,15,Seahawks,Falcons,18,34,16,18.7,0.623,6.7,217.7,1.16,1.315,2.065,77.15,4.15,97.45,0.685,0.47,25.65,0.6025,6.85,236.25,1.845,0.655,1.875,90.25,4.0,118.55000000000001,0.845,0.47
14,2010,14,Panthers,Falcons,10,31,21,15.1,0.5895,6.15,184.85,1.0,1.345,2.5300000000000002,69.6,4.449999999999999,110.65,0.5,0.875,25.7,0.623,6.7,217.5,1.47,0.81,1.69,85.9,3.8499999999999996,121.0,1.065,0.56
15,2010,5,Browns,Falcons,10,20,10,17.45,0.6345000000000001,6.800000000000001,206.7,1.125,1.25,2.0949999999999998,78.6,4.3,104.4,0.685,0.78,23.35,0.6174999999999999,6.9,221.8,1.685,0.875,1.625,87.8,3.9499999999999997,123.80000000000001,0.66,0.28
16,2010,4,Saints,Panthers,16,14,-2,24.75,0.6505,6.95,244.85000000000002,1.625,1.22,1.78,85.9,3.95,109.35,0.905,0.655,15.7,0.5740000000000001,6.1,168.5,0.685,0.935,2.59,70.1,4.3,113.85,0.625,1.06
17,2010,10,Buccaneers,Panthers,31,16,-15,23.4,0.6194999999999999,7.050000000000001,211.1,1.405,0.72,1.91,88.6,4.25,124.44999999999999,0.905,0.655,16.049999999999997,0.5589999999999999,5.9,172.05,1.0,1.25,2.37,67.3,4.5,123.55,0.595,0.78
18,2010,16,Steelers,Panthers,27,3,-24,24.45,0.621,7.5,218.6,1.285,0.81,2.315,88.1,4.0,122.0,1.095,0.7150000000000001,13.35,0.5705,5.85,178.6,0.75,1.31,3.06,65.05,3.65,89.1,0.375,0.78
19,2010,1,Giants,Panthers,31,18,-13,25.05,0.6245,7.15,227.45,1.565,1.31,1.47,83.15,4.25,130.65,1.155,0.81,16.95,0.55,6.1,176.3,1.03,1.155,3.0,68.75,4.25,108.30000000000001,0.565,0.935
20,2010,8,Rams,Panthers,20,10,-10,21.8,0.61,6.45,208.14999999999998,1.155,1.0,2.0300000000000002,78.75,3.8,111.19999999999999,0.905,0.49500000000000005,16.35,0.552,6.1,183.35,0.935,1.095,2.9050000000000002,68.7,4.4,114.25,0.44,0.81
21,2010,13,Seahawks,Panthers,31,14,-17,22.45,0.608,6.7,210.45,1.035,1.155,2.065,76.55,3.8,106.4,1.03,0.53,18.799999999999997,0.554,6.300000000000001,196.35,1.25,1.03,2.715,73.35,4.25,117.15,0.625,0.845
22,2010,17,Falcons,Panthers,31,10,-21,25.7,0.623,6.7,217.5,1.47,0.81,1.69,85.9,3.8499999999999996,121.0,1.065,0.56,15.1,0.5895,6.15,184.85,1.0,1.345,2.5300000000000002,69.6,4.449999999999999,110.65,0.5,0.875
23,2010,12,Browns,Panthers,24,23,-1,21.2,0.6194999999999999,6.800000000000001,199.45,1.0,1.09,2.0949999999999998,78.0,3.95,113.35,1.03,0.8400000000000001,16.5,0.569,6.35,181.89999999999998,1.09,1.25,2.465,70.9,4.199999999999999,122.4,0.44,0.655
24,2010,7,Saints,Browns,17,30,13,22.4,0.645,7.15,249.15,1.84,1.285,1.715,87.8,4.05,112.15,0.5,0.375,18.049999999999997,0.619,6.75,190.35000000000002,0.81,0.8400000000000001,2.1550000000000002,79.1,4.15,107.6,0.81,0.9650000000000001
25,2010,1,Buccaneers,Browns,17,14,-3,21.05,0.614,7.25,215.39999999999998,1.62,0.7849999999999999,1.845,90.5,4.35,127.25,0.5,0.375,18.4,0.604,6.550000000000001,193.9,1.125,1.155,1.935,76.3,4.35,117.3,0.78,0.685
26,2010,6,Steelers,Browns,28,10,-18,22.1,0.6154999999999999,7.699999999999999,222.89999999999998,1.5,0.875,2.25,90.0,4.1,124.80000000000001,0.69,0.43500000000000005,15.7,0.6154999999999999,6.5,200.45,0.875,1.215,2.625,74.05,3.5,82.85,0.56,0.685
27,2010,11,Jaguars,Browns,24,20,-4,21.450000000000003,0.6145,7.25,206.14999999999998,1.62,1.25,2.0949999999999998,84.1,4.4,139.55,0.66,0.405,21.549999999999997,0.6345000000000001,7.5,218.5,1.28,0.9650000000000001,1.935,86.75,4.35,112.25,1.0,0.655
28,2010,14,Bills,Browns,13,6,-7,19.25,0.5894999999999999,6.9,209.05,1.56,1.25,1.965,80.0,4.199999999999999,118.45,0.41000000000000003,0.5,21.75,0.6205,6.800000000000001,189.4,1.28,0.905,1.97,83.8,4.4,136.25,0.9650000000000001,0.8400000000000001
